Keaveny,"Modifies laws regarding the liability of attorneys in fact, modification of irrevocable trusts, court removal of a trustee, application of the Principal and Income Act, and the time limit for the issuance of letters of administration"
"Hummel, Jacob",Requires a student to receive instruction in Braille reading and writing if an assessment demonstrates the need for the instruction
Dixon,Modifies provisions regarding when a court must instruct the jury on an included criminal offense
Schmitt,Modifies provisions relating to municipal courts
"Flanigan, Tom",To appropriate money for capital improvement and other purposes for the several departments of state government
"Dugger, Tony",Modifies provisions relating to pension forfeiture
"Dugger, Tony",Adopts an agreement to elect the president by national popular vote
"Shull, Noel J",Changes the laws regarding workers' compensation large deductible policies issued by an insurer
"Burlison, Eric",Applies to Congress for the calling of a convention to propose certain amendments to the United States Constitution which place limits on the federal government
"Engler, Kevin",Authorizes the republication of the Revised Statutes of Missouri
"Swan, Kathryn",Establishes the Missouri Civics Education Initiative
"Redmon, Craig",Changes the laws regarding mine property
"Shumake, Lindell",Allows ambulance districts to conduct fingerprint background checks on current and prospective employees and volunteers.
"Cornejo, Robert",Modifies laws relating to estate planning
"Alferman, Justin",Changes the laws regarding tax returns to require certain employers to file electronically
"Crawford, Sandy",Authorizes a court to issue an order directing a wireless service provider to transfer the billing responsibility and rights to a wireless telephone number or numbers to a requesting party
"Koenig, Andrew",Modifies current provisions regarding sales tax refund claims
Cunningham,Modifies the law relating to the offense of illegal reentry
"Corlew, Kevin",Changes the laws regarding asbestos tort claims and asbestos trust claims
"Wilson, Kenneth",Allows sheriffs and deputies to assist in other counties throughout the state
"Brown, Cloria",Changes the laws regarding victims of crimes
"Hicks, Ron","Authorizes villages, towns, and cities to prohibit dogs from running at large or to regulate dogs otherwise if the regulations are not breed specific"
Brown,Allows current members of the Missouri National Guard and reserve components of the U.S. Armed Forces to receive in-state residency status for the purposes of tuition at higher education institutions
Sater,"Establishes the Supporting and Strengthening Families Act relating to guardianships and guidelines for foster child caregivers, foster child involvement in case plans, and permanency hearings"
"McGaugh, Joe Don",Specifies that the continuing authority requirement to obtain a construction or operating permit is satisfied if the applicant is a registered LLC or other business organization
"Hubrecht, Tila",Establishes a committee to examine the schools for the severely disabled
"Flanigan, Tom",Extends the expiration date on various federal reimbursement allowances for two years
"Phillips, Don",Establishes procedures for an adopted person to obtain a copy of his or her original birth certificate
"Mathews, Kirk",Establishes provisions relating to filings with the recorder of deeds and establishes the crime of false filings
"Jones, Caleb","Modifies title insurance law with respect to the performance of escrow, settlement, or closing services by title insurers, agencies, and agents"
"Hoskins, Denny",Changes the laws regarding service contracts
"Fitzpatrick, Scott",Changes the laws regarding reimbursements for emergency medical transportation under the MO HealthNet program
"Cornejo, Robert",Changes provisions relating to judicial proceedings
"Frederick, Keith","Establishes the Medical Practice Freedom Act which prohibits state licensure of physicians, chiropractors, optometrists, and dentists to be conditioned on participation in any public or private health insurance"
"Redmon, Craig",Changes the laws regarding sales and use tax exemptions for utilities used or consumed in the preparation of food
"Spencer, Bryan","Prohibits the use of automated traffic enforcement systems, and requires any political subdivision to complete or terminate any automated traffic enforcement contract within one year"
"Mathews, Kirk",Establishes a regulatory system for transportation network companies
"Fitzwater, Travis",Requires the Oversight Division of the Joint Committee on Legislative Research to perform an actuarial analysis on the provision of marital and family therapy services to MO HealthNet participants
Dixon,Modifies provisions related to crime
"Kelley, Mike",Requires a convicted sex offender to be told of his or her obligation to register as a sex offender both prior to release or discharge and at the time of adjudication
"Hinson, Dave",Establishes the Missouri Compassionate Care Act regarding the licensure of medical cannabis centers and cultivation and prodiction facilities to provide medical cannabis to qualifying patients
"Koenig, Andrew",Authorizes a tax credit for donations to a fund established for the provision of scholarships to foster care children
"Plocher, Dean",Changes the laws regarding the Uniform Commercial Code to adopt the current version of Articles 1 and 7
"Franklin, Diane",Changes the laws regarding abortion
"Burlison, Eric",Changes the laws regarding collaborative practice arrangements between advanced practice registered nurses and physicians
"Moon, Mike",Proposes a constitutional amendment regarding the right to life
Jamilah Nasheed,"Prohibits political subdivisions, public servants, and law enforcement agencies from imposing traffic citation quotas"
"Beard, Nathan",Requires the court to allow visitation between the parents of a minor who has been appointed a guardian and the minor if the court finds it in the best interests of the minor
Keaveny,Establishes the Missouri Commercial Receivership Act
"Crawford, Sandy",Requires the State Treasurer to issue letter rulings regarding the administration of the Uniform Disposition of Unclaimed Property Act
"Rehder, Holly",Establishes the Narcotics Control Act
Libla,Modifies the crimes of stealing and fraudulent procurement of a credit or debit device
"Fitzwater, Paul",Prohibits two-way telecommunications devices and their component parts in correctional centers and jails
"Dohrman, Dean",Specifies that unpaid volunteers of a tax-exempt veteran's organization are not subject to the Workers' Compensation Law
"Conway, Kathie",Modifies provisions relating to the use of moneys in the Alcohol and Tobacco Control Fund.
Brown,Requires thirty minutes of cardiopulmonary resuscitation and training in high school
"Remole, Tim",Modifies provisions relating to eminent domain power of utilities
"Cornejo, Robert",Modifies provisions relating to the Missouri Sunshine Law
Dixon,"Exempts yoga teacher training courses, programs, and schools from provisions regulating proprietary schools"
"Miller, Rocky",Encourages the attorney general to take all necessary legal actions regarding EPA's final Clean Power Plan to prevent unlawful obligations being imposed on states and others
"Kendrick, Kip",Requires the Department of Health and Senior Services to conduct a feasibility study of public and private options for leveraging private resources to help individuals prepare for long-term support needs
"Franklin, Diane",Allows various state boards to collaborate with the Department of Health and Senior Services to collect and analyze workforce data to assess the availability of qualified health care professionals
"Rowland, Lyle",Requires the Missouri Commission for the Deaf and Hard of Hearing to provide grants to organizations that provide services to deaf-blind persons
"Solon, Sheila",Requires public institutions of higher education to implement memorandums of understanding with law enforcement with respect to sexual assaults on campus
"Redmon, Craig","Adds stationary vehicles owned by a public utility displaying lighted amber or amber and white lights to the ""move over law"" list"
"Dohrman, Dean","Requires the department of higher education to establish a website containing information directing students to resources including academic programs, financial aid, and transferability of coursework for participating institutions of higher education."
"Taylor, Jered",Urges Congress to reject and revoke President Obama's Executive Order on firearm control
"Alferman, Justin",Modifies provisions relating to political subdivisions
"King, Nick",Changes the requirements for the Department of Health and Senior Services to survey every hospice to not less than every three years
"Dugger, Tony",Changes the laws regarding credit union supervision so that audits are consistent with federal standards
"Burlison, Eric",Exempts motorcyclists 21 years of age or older from wearing a helmet when operating a motorcycle or motortricycle if they have the appropriate health insurance coverage
"Entlicher, Sue",Modifies laws relating to filing deadlines when a candidate withdraws from a race within two working days prior to the deadline
"Dogan, Shamed",Requires the department of higher education to create guidance regarding notice of public employee eligibility for loan forgiveness and requires public employers to give such notice to employees
"Fitzwater, Paul",Changes the laws regarding weight limitations for local log trucks and log truck tractors
Nasheed,Authorizes financial institutions to offer savings promotion programs
"Kolkmeyer, Glen",Allows owners of personal motor vehicles and owners of commercial motor vehicles licensed in excess of twelve thousand pounds to apply for special personalized license plates.
"Leara, Mike",Changes the laws regarding the distribution of sales taxes among certain areas of St. Louis County
Sater,Allows for consolidation of road districts within a county
Pearce,Modifies provisions related to gifted education
"Flanigan, Tom","Appropriates money for capital improvement projects involving the maintenance, repair, replacement, and improvement of state buildings and facilities"
"Corlew, Kevin",Changes provisions relating to judicial proceedings
"Bernskoetter, Mike",Increases the allowable monthly amount to be credited to each participant's state employee deferred compensation account from up to $75 to up to $100
"Swan, Kathryn",Excludes funds designated by taxpayers in an urban district as local early childhood education funds from the local tax revenue calculation used to provide funding to certain charter schools
"Haefner, Marsha",Adds to the list of hate crimes certain offenses committed against law enforcement officers and first responders when the offenses are committed because the person is a law enforcement officer or first responder
"Shaul, Dan",Changes the law regarding the advertisement of intoxicating liquor
"Fitzpatrick, Scott","Specifies that beginning January 1, 2017, certain shareholders of S corporations may elect to reject workers' compensation insurance coverage"
Munzlinger,Specifies that no additional fee beyond $100 may be charged to process concealed carry permit applications and allows military members extra time to renew their permits
"Swan, Kathryn",Specifies that public schools shall screen students for dyslexia and related disorders and establishes a task force on dyslexia
"Roeber, Rebecca",Expands the newborn screening requirements to include severe combined immunodeficiency
"Engler, Kevin",Raises the MO HealthNet asset limits for disabled persons
"Ross, Robert",Exempts certain types of vessels from provisions prohibiting passengers from riding in certain areas of a motorboat
"Bondon, Jack",Requires the Department of Health and Senior Services to promulgate regulations for the construction and renovation of hospitals which include certain standards
"Hough, Lincoln",Modifies provisions of law relating to construction management
"Fitzpatrick, Scott",To appropriate money for supplemental purposes for the several departments and offices of state government.
"Conway, Kathie",Requires boat title and registration fees collected annually in excess of one million dollars to be deposited in the water patrol division fund
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, Office of the State Public Defender, and General Assembly"
"Morris, Lynn",Prohibits a health carrier or other insurer that writes vision insurance from requiring an optometrist to provide services or materials at a discount that are not covered and reimbursed under the
"Fitzpatrick, Scott","Appropriates money for the departments of Economic Development; Insurance, Financial Institutions and Professional Registration; and Labor and Industrial Relations"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Public Safety"
"Hansen, Jim",Modifies provisions relating to community improvement districts
"Brown, Wanda",Modifies the law relating to unemployment compensation benefits
"Wilson, Kenneth",Specifies that bullying an elderly person constitutes elder abuse
"Hill, Justin",Modifies provisions relating to private probation services for misdemeanor offenders
"Koenig, Andrew",Establishes additional rules and procedures for certain counties' tax increment financing commission
"Flanigan, Tom",Appropriates money to the Board of Fund Commissioners
"Curtis, Courtney Allen",Establishes the Urban Education Institute
"Hough, Lincoln",Changes the laws regarding federal home loan banks
"Flanigan, Tom",Appropriates money for real property leases and related services
"Burlison, Eric",Allows any person to carry a concealed firearm anywhere that isn't expressly prohibited by law
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, and distributions of the Department of Social Services"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Agriculture, Department of Natural Resources, and Department of Conservation"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Revenue and Department of Transportation"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Corrections"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Office of Administration, Department of Transportation, and Department of Public Safety"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education"
"Fitzpatrick, Scott","Appropriates money for the expenses, grants, refunds, and distributions of the Department of Mental Health, Board of Public Buildings, and Department of Health and Senior Services"
Wieland,Modifies provisions relating to transportation facilities
Nasheed,Requires each public institution of higher education to develop and implement a policy to advise students and staff on available suicide prevention programs
Schatz,Modifies provisions relating to registration of certain motor vehicles
"Hinson, Dave",Changes the law regarding erection of public buildings so that county commissions no longer need to appoint superintendents for that purpose
"McGaugh, Joe Don",Modifies provisions related to employer requirements for employee benefits
"Gannon, Elaine",Modifies provisions relating to high school equivalency examinations
Munzlinger,"Modifies the definition of livestock by changing the word ""buffalo"" to ""bison"""
"Pfautsch, Donna",Allows the State Auditor to audit community improvement districts
"Dunn, Randy",Authorizes a tax credit for the establishment of full-service grocery stores in food deserts
"Kirkton, Jeanne",Prohibits restraints to be used on offenders during the 2nd or 3rd trimester of pregnancy or for 48-hours post delivery unless extraordinary circumstances exist
Brown,Designates the Trooper Gary Snodgrass Memorial Bridge
"Swan, Kathryn",Modifies the film tax credit program
"Korman, Bart",Modifies provisions relating to the alternative fuel decal fee for plug-in electric hybrid vehicles
"Corlew, Kevin",Establishes the Armed Offender Docket Pilot Project within the Jackson County Circuit Court to handle all matters regarding a person accused or convicted of first degree robbery or a firearm offense
Dixon,Modifies laws relating to public defenders
"Ellington, Brandon",Repeals the provision allowing the Board of Probation and Parole to charge an offender an intervention fee
Walsh,"Designates a portion of state highway 367 in St. Louis County as ""Sgt. Peggy Vassallo Way"""
"Brown, Cloria",Allows kinship placements for foster children
"Cornejo, Robert",Changes provisions relating to trusts and estates and establishes the Missouri Uniform Powers of Appointment Act
Schaaf,Establishes a Prescription Drug Monitoring Act
"McGaugh, Joe Don",Modifies provisions relating to county prosecuting attorneys
Kraus,Creates a state and local sales tax exemption for internet access or the use of internet access
Richard,"Creates the ""Capitol Complex Tax Credit Act"""
"Pfautsch, Donna","Designates the month of February as ""Teen Dating Violence Awareness Month"""
Sater,Creates a tax credit for certain organizations working with ex-offenders
"Fraker, Lyndall",Modifies provisions relating to preneed contracts
"McGaugh, Joe Don",Requires certain specified crime scene photographs or video recordings to be considered closed records and not subject to disclosure under the Open Meetings and Records Law
"Jones, Caleb","Prohibits public institutions of higher education from paying for or reimbursing out-of-state travel expenses for spouses of full-time employees, unless the spouse is also a full-time employee."
"McCaherty, John",Changes the laws regarding custody of in vitro human embryos
Brown,Authorizes the conveyance of certain state properties
Walsh,Establishes the Advance Health Care Directive Registry
"Fitzpatrick, Scott",Allows any person to apply for a liquor license to sell intoxicating liquor on a boat carrying 30 passengers or more
"Pike, Patricia","Designates the month of November as ""Diabetes Awareness Month"" in Missouri"
Onder,Adds the element of advertising to the crimes of sexual trafficking of a child and trafficking for the purposes of sexual exploitation
"Lant, Bill",Changes the laws regarding the precedence of orders entered by a juvenile court
"Fraker, Lyndall",Authorizes the next-of-kin of a deceased person to delegate control of the final disposition of the remains
Sater,Provides that only a licensed pharmacist can determine to dispense an emergency supply of medication without the prescriber's authorization
"Davis, Charlie",Changes the laws regarding the Missouri Returning Heroes' Education Act
"Lichtenegger, Donna","Changes the laws by adding virtual institutions to the ""Access Missouri Financial Assistance Program"""
"Conway, Kathie",Allows community college police officers to establish regulations to control vehicular traffic on any thoroughfare owned or maintained by the college
"Lauer, Jeanie",Establishes policies and training for youth suicide awareness and prevention in schools
Wallingford,Modifies provisions relating to the detention and shackling of juvenile offenders and detention and shackling of pregnant offenders
"King, Nick",Extends the sunset date of the Manufacturing Jobs Act
Schatz,Creates an income tax deduction for payments received as part of a program that compensates agricultural producers for losses from disaster or emergency
Sater,"Designates the ""Senator Emory Melton Memorial Highway"""
"Anderson, Sonya",Changes the laws regarding the confiscation of animals
"Plocher, Dean",Modifies admissibility of chemical test results in intoxication related proceedings
Brown,Modifies provisions relating to the Missouri Works Program and the United States Department of Defense
Schaefer,Designates two memorial highways in Boone County
"Engler, Kevin",Changes the laws regarding the requirements for the operation of a bingo game
"Ross, Robert",Requires the Department of Natural Resources to sell certain lands acquired through environmental settlement funds
"Kelley, Mike",Authorizes an earned income tax credit in Missouri
Jamilah Nasheed,Allows the court to order a wireless service provider to transfer the rights of a wireless telephone number to a petitioner under certain circumstances
"Korman, Bart",Modifies provisions relating to the alternative fuel decal fee for plug-in electric hybrid vehicles
Parson,Modifies corporate registration report requirements for authorized farm corporations and family farm corporations
"Hough, Lincoln","Authorizes Greene County, or any city within the county, to impose a sales tax, upon voter approval, to fund early childhood education"
"Pike, Patricia",Changes the laws regarding taxation of aircraft
Kraus,Prohibits the Department of Health and Senior Services from requiring hospitals to have fences around helipads
"Allen, Sue",Changes the laws regarding bullying in schools and establishes specific components that a district must include in its antibullying policy
"Burlison, Eric",Establishes the “Short Term Rental Freedom Act” which prohibits political subdivisions from enacting or enforcing an ordinance prohibiting or unreasonably restricting residential dwelling rentals.
Riddle,"Designates the ""Trooper James M. Bava Memorial Highway"""
Parson,Allows the AgriMissouri Advisory Commission to establish a fee for sellers electing to use the AgriMissouri trademark so long as the fees do not yield revenue greater than administering the objectives of the Commission and the trademark
"Leara, Mike",Changes the laws regarding motor vehicle warranties to allow component manufacturers to service their products without violating the motor vehicle's warranty
Wasson,Provides that a pharmacist may dispense varying quantities of maintenance medication
"Dohrman, Dean",Specifies that unpaid volunteers of a tax-exempt veteran's organization are not subject to the Workers' Compensation Law
"Lair, Mike",Modifies provisions relating to the teacher and school employee retirement systems
